Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22488;8210 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»);26\5325\1 ДОГ очн Химия, ДОГ;1.04.03.01;химфак
22489;8280 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5313\1 ГБ очн Всеобщая история, Б;7.46.03.01;истфак
22490;8289 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»);26\5316\1 ГБ очн Теория и история искусств, Б;8.50.03.03;истфак
22491;8280 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5313\1 ГБ очн Всеобщая история, ОсК;7.46.03.01;истфак
22492;8210 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»);26\5325\1 ГБ очн Химия, ОтК;1.04.03.01;химфак
22493;8279 - Археология (с дополнительными квалификациями «Учитель истории и обществознания» / «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»);26\5315\1 ГБ очн Археология, ОтК;7.46.03.01;истфак
22494;8282 - Философия (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5321\1 ГБ очн Философия, ОтК;7.47.03.01;философ
22495;8194 - Прикладная математика, процессы управления и искусственный интеллект (с дополнительной квалификацией «Программист»);26\5329\1 ГБ очн Прикладная математика, процессы управления и искусственный интеллект, Б;1.01.03.02;пмпу
22496;8291 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»);26\5324\1 ИН ДОГ очн Музеология и охрана объектов культурного и природного наследия, ДОГ;8.51.03.04;философ
22497;8210 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»);26\5325\1 ГБ очн Химия, Б;1.04.03.01;химфак
22498;8281 - История России (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5312\1 ГБ очн История России, Б;7.46.03.01;истфак
22499;8281 - История России (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5312\1 ИН ДОГ очн История России, ДОГ;7.46.03.01;истфак
22500;8290 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5323\1 ГБ очн Культурология, Б;8.51.03.01;философ
22501;8194 - Прикладная математика, процессы управления и искусственный интеллект (с дополнительной квалификацией «Программист»);26\5329\1 ИН ДОГ очн Прикладная математика, процессы управления и искусственный интеллект, ДОГ;1.01.03.02;пмпу
22502;8225 - Прикладные компьютерные технологии и искусственный интеллект;26\5330\1 ГБ очн Прикладные компьютерные технологии и искусственный интеллект, Б;2.27.03.03;пмпу
22503;8225 - Прикладные компьютерные технологии и искусственный интеллект;26\5330\1 ГБ очн Прикладные компьютерные технологии и искусственный интеллект, ОтК;2.27.03.03;пмпу
22504;8293 - Инструментальное исполнительство на органе, клавесине, карильоне (с дополнительной квалификацией «Педагог дополнительного образования»);26\5332\1 ДОГ очн Инструментальное исполнительство на органе, клавесине, карильоне, ДОГ;8.53.03.02;фи
22505;8225 - Прикладные компьютерные технологии и искусственный интеллект;26\5330\1 ГБ очн Прикладные компьютерные технологии и искусственный интеллект, ОсК;2.27.03.03;пмпу
22506;8293 - Инструментальное исполнительство на органе, клавесине, карильоне (с дополнительной квалификацией «Педагог дополнительного образования»);26\5332\1 ИН ДОГ очн Инструментальное исполнительство на органе, клавесине, карильоне, ДОГ;8.53.03.02;фи
22507;8294 - Академическое пение (с дополнительной квалификацией «Педагог дополнительного образования»);26\5333\1 ДОГ очн Академическое пение, ДОГ;8.53.03.03;фи
