"Id конкурса";"Обр. программы";"Комментарий к конкурсу";"Код НПС/УГСН";"Доп.параметры"
106097;"52652 - Этнологическая экспертиза (с дополнительной квалификацией «Специалист в сфере национальных и религиозных отношений»)";"25\6073\1 ИН ДОГ очн_Этнологическая экспертиза (с дополнительной квалификацией «Специалист в сфере национальных и религиозных отношений»)";"7.46.04.03";"истфак"
106098;"52676 - Международное предпринимательство в цифровой экономике";"25\7804\1 Филиал ИН ДОГ очн_Международное предпринимательство в цифровой экономике";"5.38.04.01";
106099;"52570 - Экономика и управление в сфере искусств";"25\5935\1 ДОГ очн_Экономика и управление в сфере искусств";"5.38.04.01";"экфак"
106100;"52550 - Социально-культурная антропология народов Азии и Африки (с изучением языков Азии и Африки)";"25\5888\1 ДОГ очн_Социально-культурная антропология народов Азии и Африки (с изучением языков Азии и Африки)";"5.58.04.01";"восточный"
106101;"52663 - Организационная психология и психология менеджмента (с дополнительной квалификацией «Консультант по управлению персоналом»)";"25\6088\1 ДОГ очн_Организационная психология и психология менеджмента (с дополнительной квалификацией «Консультант по управлению персоналом»)";"5.37.04.01";"психфак"
106102;"52650 - История Российской цивилизации (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»)";"25\6071\1 ИН ДОГ очн_История Российской цивилизации (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного об";"7.46.04.01";"истфак"
106103;"52536 - Цифровая трансформация с использованием технологий распределённых реестров";"25\5836\1 ДОГ оз_Цифровая трансформация с использованием технологий распределённых реестров";"5.38.04.05";"экфак"
106104;"52625 - Дизайн среды (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6044\1 ДОГ очн_Дизайн среды (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.54.04.01";"фи"
106105;"52542 - Transnational Legal Practice (in English) / Юридическое сопровождение международного бизнеса (на английском языке)";"25\5848\1 ДОГ очн_Transnational Legal Practice (in English) / Юридическое сопровождение международного бизнеса (на английском языке)";"5.40.04.01";"юрфак"
106106;"52528 - Международное частное право";"25\7801\1 Филиал ИН ДОГ очн_Международное частное право";"5.40.04.01";
106107;"52617 - Геоурбанистика (с дополнительной квалификацией «Градостроитель»)";"25\6035\1 ДОГ очн_Геоурбанистика (с дополнительной квалификацией «Градостроитель»)";"1.05.04.02";"иноз"
106108;"52569 - Экономика и управление развитием компании";"25\5934\1 ИН ДОГ очн_Экономика и управление развитием компании";"5.38.04.01";"экфак"
106109;"52672 - Математические методы в цифровой экономике";"25\6097\1 ДОГ очн_Математические методы в цифровой экономике";"5.38.04.01";"экфак"
106111;"52477 - Исследования Тихоокеанского региона";"25\5560\1 ДОГ очн_Исследования Тихоокеанского региона";"5.41.04.05";"межнар"
106112;"52519 - Уголовное право";"25\5788\1 ИН ДОГ очн_Уголовное право";"5.40.04.01";"юрфак"
106113;"52539 - Юрист в сфере нормотворческой деятельности";"25\5841\1 ДОГ очн_Юрист в сфере нормотворческой деятельности";"5.40.04.01";"юрфак"
106114;"52514 - Физика конденсированного состояния на исследовательских установках МЕГА-класса";"25\5760\1 ИН ДОГ очн_Физика конденсированного состояния на исследовательских установках МЕГА-класса";"1.03.04.02";"фф"
106115;"52549 - Правовое сопровождение бизнеса";"25\5878\1 ИН ДОГ очн_Правовое сопровождение бизнеса";"5.40.04.01";"юрфак"
106116;"52622 - Нефтегазовое дело и цифровые технологии";"25\6040\1 ИН ДОГ очн_Нефтегазовое дело и цифровые технологии";"2.21.04.01";
106117;"52646 - Авторский аудиовизуальный проект (с дополнительной квалификацией «Продюсер в области кинематографии»)";"25\6066\1 ИН ДОГ очн_Авторский аудиовизуальный проект (с дополнительной квалификацией «Продюсер в области кинематографии»)";"5.42.04.02";"журнал"
106118;"52466 - Прикладные физика и математика";"25\5510\1 ИН ДОГ очн_Прикладные физика и математика";"1.03.04.01";"фф"
106119;"52510 - Современный Китай: экономика, политика, общество (с изучением китайского языка)";"25\5738\1 ИН ДОГ очн_Современный Китай: экономика, политика, общество (с изучением китайского языка)";"5.58.04.01";"восточный"
106120;"52548 - Финансовая экономика";"25\5877\1 ДОГ очн_Финансовая экономика";"5.38.04.08";"экфак"
106121;"52518 - Юрист в сфере уголовного судопроизводства";"25\5787\1 ДОГ очн_Юрист в сфере уголовного судопроизводства";"5.40.04.01";"юрфак"
106122;"52640 - Журналистика в сфере политики (с дополнительной квалификацией «Специалист по производству продукции сетевых изданий и информационных агентств»)";"25\6060\1 ИН ДОГ очн_Журналистика в сфере политики (с дополнительной квалификацией «Специалист по производству продукции сетевых изданий и информацион";"5.42.04.02";"журнал"
106123;"52584 - Синхронный перевод (английский язык) (с дополнительной квалификацией «Переводчик в сфере профессиональной коммуникации»)";"25\5952\1 ДОГ очн_Синхронный перевод (английский язык) (с дополнительной квалификацией «Переводчик в сфере профессиональной коммуникации»)";"7.45.04.02";"филфак"
106124;"52568 - Управление безопасностью труда и профессиональные риски";"25\5933\1 ДОГ очн_Управление безопасностью труда и профессиональные риски";"5.38.04.01";"экфак"
106125;"52604 - Юрист в сфере финансового рынка";"25\6016\1 ДОГ очн_Юрист в сфере финансового рынка";"5.40.04.01";"юрфак"
106127;"52498 - Менеджмент (Master in Management - MIM)";"25\5669\1 ИН ДОГ очн_Менеджмент (Master in Management - MIM)";"5.38.04.02";"менедж"
106128;"52479 - Международное сотрудничество в области окружающей среды и развития";"25\5562\1 ДОГ очн_Международное сотрудничество в области окружающей среды и развития";"5.41.04.05";"межнар"
106129;"52805 - Межкультурное взаимодействие и перевод в сфере государственного и муниципального управления";"25\6008\1 ИН ДОГ очн_Межкультурное взаимодействие и перевод в сфере государственного и муниципального управления (с дополнительными квалификациями «Пе";"7.45.04.02";"филфак"
106130;"52651 - Россия в войнах и социальных конфликтах (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»)";"25\6072\1 ДОГ очн_Россия в войнах и социальных конфликтах (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительн";"7.46.04.01";"истфак"
106132;"52666 - Арт-критика (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6091\1 ИН ДОГ очн_Арт-критика (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.50.04.01";"фсиин"
106133;"52660 - Прикладная математика и искусственный интеллект в медицине";"25\6081\1 ИН ДОГ очн_Прикладная математика и искусственный интеллект в медицине";"1.01.04.02";"пмпу"
106134;"52607 - Международная социология (с дополнительной квалификацией «Специалист в сфере национальных и религиозных отношений»)";"25\6024\1 ИН ДОГ очн_Международная социология (с дополнительной квалификацией «Специалист в сфере национальных и религиозных отношений»)";"5.39.04.01";"соцфак"
106135;"52543 - Банкротное право";"25\5849\1 ИН ДОГ очн_Банкротное право";"5.40.04.01";"юрфак"
106136;"52509 - Общая и когнитивная психология";"25\5732\1 ДОГ очн_Общая и когнитивная психология";"5.37.04.01";"психфак"
